DATE,LEDGER,REVENUE,UNITS
7/31/2022,Front Suspension Bicycles-Not Specified,0.00,0.00
7/31/2022,"Full Suspension Bicycles-26""",6472712.14,38166.20
7/31/2022,"Full Suspension Bicycles-27.5""/650B",10925627.25,3878.79
7/31/2022,"Full Suspension Bicycles-29""",42130283.40,16691.18
7/31/2022,Full Suspension Bicycles-Not Specified,0.00,0.00
7/31/2022,"Single Speed Mountain Bicycles-26""",17588.78,40.11
7/31/2022,"Single Speed Mountain Bicycles-27.5""/650B",0.00,0.00
7/31/2022,"Single Speed Mountain Bicycles-29""",0.00,0.00
7/31/2022,"Unsuspended Bicycles-26""",1985806.61,4776.98
7/31/2022,"Unsuspended Bicycles-27.5""/650B",833595.19,952.36
7/31/2022,"Unsuspended Bicycles-29""",267208.98,898.25
7/31/2022,Unsuspended Bicycles-Not Specified,0.00,0.00
7/31/2022,On-Bike Packs,5229276.49,116634.54
7/31/2022,Frame Bags,924647.94,27633.28
7/31/2022,Handlebar Bags,700443.35,19353.44
7/31/2022,Pannier/Rack Packs,2164477.70,22214.06
7/31/2022,Seat/Seat post Bags,1439707.50,47433.76
7/31/2022,On-Bike Racks,4820586.96,142366.38
7/31/2022,Bike Baskets,2521659.10,83523.64
7/31/2022,Front Bike Racks,94718.13,999.05
7/31/2022,Front/Rear Rack Sets,0.00,0.00
7/31/2022,Rear Rack Frame,2088930.65,55458.12
7/31/2022,Rear Rack Seatpost,115279.08,2385.57
7/31/2022,Other Bicycles,20736686.73,67350.64
7/31/2022,Folding Bicycles,1408975.89,2801.07
7/31/2022,Other Bicycles,126484.25,110.36
7/31/2022,Recumbent Bicycles,1304119.47,1066.23
7/31/2022,Stationary Bikes,15683790.57,58508.00
7/31/2022,Three Wheeler Bicycles,2130563.72,3980.74
7/31/2022,Unicycles,82752.83,884.24
7/31/2022,Pedals,9794824.50,177069.59
7/31/2022,MTB Clipless Pedals,2301014.60,22988.78
7/31/2022,Pedals Accessories,1456444.30,54536.91
7/31/2022,Platform Pedals,3317196.88,77498.58
7/31/2022,Road Clipless Pedals,2720168.72,22045.32
7/31/2022,Repairs/Maintenance,11838576.50,889999.96
7/31/2022,Bike Multi Tools,1421529.46,57234.38
7/31/2022,Bike Patch Tool Kits,638703.03,87628.51
7/31/2022,Bike Patch Tools,1869580.59,229206.00
7/31/2022,Bike Shop Tools,1734722.44,84186.83
7/31/2022,Lubes/Cleaners,5407092.86,424990.10
7/31/2022,Workstands,766948.12,6754.14
7/31/2022,Road,52047405.32,21442.88
7/31/2022,Cyclocross/Gravel Bicycles,17810162.24,7783.52
7/31/2022,Sport Performance Road Bicycles,32664443.06,12390.58
7/31/2022,Touring Road Bicycles,706216.03,399.35
7/31/2022,Track/Single Speed Bicycles,293971.50,748.36
7/31/2022,Triathlon Bicycles,572612.49,121.07
7/31/2022,Saddles/Pads,8435687.31,196613.66
7/31/2022,Comfort Saddles,4463820.65,115611.59
7/31/2022,Other Saddles,270717.42,8231.86
7/31/2022,Pads/Covers,731238.50,44602.78
7/31/2022,Performance Saddles,2969910.74,28167.43
7/31/2022,Tandem,322575.13,629.46
7/31/2022,All Terrain Tandem Bicycles,0.00,0.00
7/31/2022,Comfort/Cross Tandem Bicycles,165032.06,397.92
7/31/2022,Road Tandem Bicycles,157543.07,231.54
7/31/2022,Tires/Tubes,33793580.73,2180076.37
7/31/2022,Other Tubes,1061718.53,145827.69
7/31/2022,Tire 12-24 Inch,1463756.12,75192.71
7/31/2022,Tire 26 Inch,3284247.99,131951.07
7/31/2022,Tire 27 Inch/700C/650C,10469304.63,215086.51
7/31/2022,Tire 27.5 Inch/650B,1396985.79,26310.50
7/31/2022,Tire 29 Inch,2479165.25,43391.21
7/31/2022,Tire OTHER,10629.40,554.25
7/31/2022,Tires/Tubes Accessories,1769430.71,158855.69
7/31/2022,Tube 20 Inch,1391602.89,172362.60
7/31/2022,Tube 24 X,622527.25,82734.92
7/31/2022,Tube 26 X,3854051.70,446852.15
7/31/2022,Tube 27.5/650B,695326.60,77605.09
7/31/2022,Tube 27/700C/650C,4333698.88,492127.65
7/31/2022,Tube 29 X,961134.99,111224.33
7/31/2022,Trailers,5618980.79,32146.93
7/31/2022,Cargo Trailers,428418.19,2469.54
7/31/2022,Kid Trailers/Carriers,4943182.42,28350.00
7/31/2022,Trail A Bikes,247380.18,1327.39
7/31/2022,Trainers/Rollers,2265877.31,12897.98
7/31/2022,Trainers/Rollers,1769800.98,6395.32
7/31/2022,Trainers/Rollers Accessories,496076.33,6502.66
7/31/2022,Transit/Fitness,55812049.69,84805.87
7/31/2022,Commuter/Town Bicycles,6283904.27,10345.40
7/31/2022,Cross/Hybrid Bicycles,49528145.42,74460.47
7/31/2022,Water Bottle Cages,4682938.99,288767.46
7/31/2022,Water Bottle Cages,4682938.99,288767.46
7/31/2022,Wheel Parts,1590905.58,190619.90
7/31/2022,26 Inch Rims,13585.61,269.13
7/31/2022,27 Inch Rims,0.00,0.00
7/31/2022,27.5 Inch/ 650B Rims,87921.55,423.64
7/31/2022,29 Inch Rims,157619.38,524.02
7/31/2022,650C Rims,0.00,0.00
7/31/2022,700C Rims,59969.04,589.33
7/31/2022,Hubs,255939.52,2247.10
7/31/2022,Other Rims,9821.52,194.18
7/31/2022,Other Wheel Parts,690198.51,67349.84
7/31/2022,Skewers,83260.34,4033.17
7/31/2022,Spokes,232590.11,114989.49
7/31/2022,Wheels,6632977.08,27943.35
7/31/2022,<=24 inch Front Wheels,16161.08,257.87
7/31/2022,<=24 inch Rear Wheels,19375.56,258.35
7/31/2022,<=24 inch Wheel Sets,54056.80,2582.50
7/31/2022,26 inch Front Wheels,54111.16,668.01
7/31/2022,26 inch Rear Wheels,113683.07,1424.13
7/31/2022,26 inch Wheel Sets,290138.68,3648.00
7/31/2022,27 inch/ 700C/ 650C Front Wheels,762847.83,1961.06
7/31/2022,27 inch/ 700C/ 650C Rear Wheels,1110737.81,3300.10
7/31/2022,27 inch/ 700C/ 650C Wheel Sets,2110123.94,7733.35
7/31/2022,27.5 inch/ 650B Front Wheels,41452.51,289.60
7/31/2022,27.5 inch/ 650B Rear Wheels,113446.14,570.48
7/31/2022,27.5 inch/ 650B Wheel Sets,376436.71,1028.49
7/31/2022,29 inch Front Wheels,119887.15,668.79
7/31/2022,29 inch Rear Wheels,219265.16,1120.47
7/31/2022,29 inch Wheel Sets,1117927.70,1960.48
7/31/2022,Other Front Wheels,0.00,0.00
7/31/2022,Other Rear Wheels,0.00,0.00
7/31/2022,Other Wheel Sets,113325.78,471.67
7/31/2022,Grand Total,712743503.15,10731983.08
8/31/2022,Bike Footwear,9528619.88,75944.09
8/31/2022,Bike Sandals,45675.82,404.90
8/31/2022,Mountain Shoes,5143133.63,45787.78
8/31/2022,Other Bike Shoes,101242.73,961.94
8/31/2022,Road Shoes,4238567.70,28789.47
8/31/2022,Bike Gloves,3706336.01,129015.52
8/31/2022,Bike Glove Liners,901.77,141.84
8/31/2022,Fingerless Bike Gloves,2167461.88,77439.86
8/31/2022,Full Finger Bike Gloves,1537972.36,51433.82
8/31/2022,Bike Lights,10784992.43,375943.05
8/31/2022,Bike Headlights,2561522.14,56293.76
8/31/2022,Bike Light Accessories,61842.61,4915.80
8/31/2022,Bike Light Sets,4896176.82,184303.78
8/31/2022,Bike Taillights,2355720.97,54267.87
8/31/2022,Other Bike Lights,909729.89,76161.84
8/31/2022,Bike Pumps,9827782.74,512287.29
8/31/2022,C02 Frame Pumps,637538.66,27681.91
8/31/2022,Floor Pumps,6400929.53,263297.69
8/31/2022,Manual Frame Pumps,1516383.34,68384.33
8/31/2022,Pump Accessories,1054350.28,147936.77
8/31/2022,Shock Pumps,218580.93,4986.59
8/31/2022,Bike Rentals,5069132.40,87071.78
8/31/2022,Bike Rentals,5069132.40,87071.78
8/31/2022,Bike Service/Repairs,43412671.98,1579349.43
8/31/2022,Bike Service/Repairs,43412671.98,1579349.43
8/31/2022,BMX,12461442.87,79665.08
8/31/2022,BMX/Race Bicycles,5672867.59,37211.98
8/31/2022,Freestyle Bicycles,6788575.28,42453.10
8/31/2022,Childrens,52163482.85,379454.19
8/31/2022,12 inch Bicycles,6337748.02,67801.61
8/31/2022,14 inch Bicycles,533397.70,3655.25
8/31/2022,16 inch Bicycles,10086028.92,89084.12
8/31/2022,18 inch Bicycles,5075536.90,46296.26
8/31/2022,20 inch Bicycles,12781078.95,86371.50
8/31/2022,24 inch Bicycles,16912789.77,82413.39
8/31/2022,Balance Bikes,389396.09,3200.63
8/31/2022,Tricycles,47506.50,631.43
8/31/2022,Components,33192079.54,1117155.82
8/31/2022,Bar Ends,56176.68,3287.41
8/31/2022,Bottom Brackets,578028.64,17716.37
8/31/2022,Brake and Shifting Cables,1397161.01,260219.79
8/31/2022,Brake Parts - Disks,1423106.81,29438.10
8/31/2022,Brake Parts - Levers,336662.89,7126.56
8/31/2022,Brake Parts - Other,719460.64,35364.64
8/31/2022,Brake Parts - Pads,2385049.21,142049.90
8/31/2022,Brake Parts - Rims,138537.15,1718.47
8/31/2022,Brakes - Disk - Hydraulic,288777.44,2412.77
8/31/2022,Brakes - Disk - Hydraulic Sets,653383.17,6183.35
8/31/2022,Brakes - Disk - Mechanical,58753.97,1522.96
8/31/2022,Brakes - Disk - Mechanical Sets,0.00,0.00
8/31/2022,Brakes - Rim Sets,11034.83,277.17
8/31/2022,Brakes - Rims,79362.05,3314.84
8/31/2022,Cassettes/Freewheels,3078501.62,41581.01
8/31/2022,Chainrings,665288.09,11780.12
8/31/2022,Chains,3624273.48,132557.35
8/31/2022,Component Groups,1234951.09,2069.49
8/31/2022,Cranksets,918959.58,6932.94
8/31/2022,Front Derailleurs,339244.60,4594.53
8/31/2022,Handlebar Grips,1534104.58,83063.02
8/31/2022,Handlebar Tape,1327092.14,45454.96
8/31/2022,Handlebars,1150850.83,10746.58
8/31/2022,Headsets,133223.95,3375.18
8/31/2022,Other Component Parts,5948200.92,192832.60
8/31/2022,Rear Derailleurs,1766492.73,21588.97
8/31/2022,Seatposts,1492772.61,16659.08
8/31/2022,Shift/Brake Combo,500396.07,4652.68
8/31/2022,Shifters,387021.32,11445.49
8/31/2022,Stems,965211.44,17189.49
8/31/2022,Electric Bicycles,81755428.38,42133.02
8/31/2022,Electric Lifestyle/Leisure Bicycles- Class 1,5818290.38,3035.27
8/31/2022,Electric Lifestyle/Leisure Bicycles- Class 2,898489.25,812.27
8/31/2022,Electric Lifestyle/Leisure Bicycles- Class 3,88096.90,52.80
8/31/2022,Electric Lifestyle/Leisure Bicycles- Not Specified,0.00,0.00
8/31/2022,Electric Mountain Bicycles- Class 1,18665265.56,5106.51
8/31/2022,Electric Mountain Bicycles- Class 2,2655853.21,1232.12
8/31/2022,Electric Mountain Bicycles- Class 3,268276.56,67.81
8/31/2022,Electric Mountain Bicycles- Not Specified,0.00,0.00
8/31/2022,Electric Other Bicycles- Class 1,4696487.40,2460.65
8/31/2022,Electric Other Bicycles- Class 2,6021810.57,12196.21
8/31/2022,Electric Other Bicycles- Class 3,433255.76,90.44
8/31/2022,Electric Other Bicycles- Not Specified,49830.82,34.51
8/31/2022,Electric Road Bicycles- Class 1,2592135.43,426.50
8/31/2022,Electric Road Bicycles- Class 2,61511.94,38.63
8/31/2022,Electric Road Bicycles- Class 3,851625.75,169.67
8/31/2022,Electric Road Bicycles- Not Specified,3794.37,5.58
8/31/2022,Electric Transit/Fitness Bicycles- Class 1,16059649.48,7193.29
8/31/2022,Electric Transit/Fitness Bicycles- Class 2,6563061.71,4038.93
8/31/2022,Electric Transit/Fitness Bicycles- Class 3,15777002.83,5108.97
8/31/2022,Electric Transit/Fitness Bicycles- Not Specified,250990.46,62.86
8/31/2022,Electronics,7013727.69,75111.21
8/31/2022,Cyclo-Computers,4005937.32,19996.58
8/31/2022,Electronic Accessories,2769209.78,54696.04
8/31/2022,Power Meters,238580.59,418.59
8/31/2022,Fenders,535199.15,14194.68
8/31/2022,Fender Sets,373591.87,5804.01
8/31/2022,Front Fenders,93742.34,5377.39
8/31/2022,Rear Fenders,67864.94,3013.28
8/31/2022,Forks & Suspension,1914529.09,3374.78
8/31/2022,26 Inch,20626.27,50.04
8/31/2022,700C,9179.54,91.66
8/31/2022,Other Rigid Forks,73598.95,307.27
8/31/2022,Suspension Fork,1699142.47,2645.87
8/31/2022,Suspension Rear,111981.86,279.94
8/31/2022,Frames,3568906.47,1957.82
8/31/2022,BMX Frames,2867.90,7.66
8/31/2022,Cyclocross/Gravel Frames,491305.51,163.78
8/31/2022,Mountain Frames,954519.90,441.51
8/31/2022,Road Frames,2120213.16,1344.87
8/31/2022,Helmets,35893333.27,781211.59
8/31/2022,Full Face Helmets,1639652.97,12263.85
8/31/2022,Helmet Accessories,47269.90,1585.49
8/31/2022,Regular Helmets,34206410.40,767362.25
8/31/2022,Lifestyle/Leisure,14816606.46,61382.14
8/31/2022,Comfort Bicycles,4285501.99,9686.11
8/31/2022,Cruiser/Classic Bicycles,10531104.47,51696.03
8/31/2022,Locks,14473895.66,649256.35
8/31/2022,Cable Locks,6524319.03,479981.06
8/31/2022,Chain Locks,1218387.40,26152.65
8/31/2022,Folding Locks,738534.43,7782.40
8/31/2022,Lock Accessories,148654.62,6562.78
8/31/2022,Other Locks,119190.19,2674.13
8/31/2022,U-Locks,5724809.99,126103.33
8/31/2022,Mountain,103926396.15,180817.28
8/31/2022,"Downhill Bicycles-26""",0.00,0.00
8/31/2022,"Downhill Bicycles-27.5""/650B",34590.42,5.58
8/31/2022,"Downhill Bicycles-29""",23239.96,4.00
8/31/2022,Downhill Bicycles-Not Specified,0.00,0.00
8/31/2022,"Front Suspension Bicycles-26""",10486313.96,54204.57
8/31/2022,"Front Suspension Bicycles-27.5""/650B",17513965.04,32585.97
8/31/2022,"Front Suspension Bicycles-29""",24965297.49,36059.60
8/31/2022,Front Suspension Bicycles-Not Specified,12454.31,19.19
8/31/2022,"Full Suspension Bicycles-26""",5388387.90,34056.78
8/31/2022,"Full Suspension Bicycles-27.5""/650B",5411944.70,2412.07
8/31/2022,"Full Suspension Bicycles-29""",36513596.93,14968.74
8/31/2022,Full Suspension Bicycles-Not Specified,0.00,0.00
8/31/2022,"Single Speed Mountain Bicycles-26""",20146.12,40.14
8/31/2022,"Single Speed Mountain Bicycles-27.5""/650B",0.00,0.00
8/31/2022,"Single Speed Mountain Bicycles-29""",0.00,0.00
8/31/2022,"Unsuspended Bicycles-26""",1981647.88,4521.52
8/31/2022,"Unsuspended Bicycles-27.5""/650B",1341820.85,1281.83
8/31/2022,"Unsuspended Bicycles-29""",232990.59,657.29
8/31/2022,Unsuspended Bicycles-Not Specified,0.00,0.00
8/31/2022,On-Bike Packs,5217686.71,112896.73
8/31/2022,Frame Bags,893316.40,25957.59
8/31/2022,Handlebar Bags,660538.98,19231.14
8/31/2022,Pannier/Rack Packs,2303817.55,22950.82
8/31/2022,Seat/Seat post Bags,1360013.78,44757.18
8/31/2022,On-Bike Racks,4683736.34,142022.25
8/31/2022,Bike Baskets,2544959.67,84168.80
8/31/2022,Front Bike Racks,38833.26,694.44
8/31/2022,Front/Rear Rack Sets,0.00,0.00
8/31/2022,Rear Rack Frame,1977104.22,54603.22
8/31/2022,Rear Rack Seatpost,122839.19,2555.79
8/31/2022,Other Bicycles,16898682.49,48108.65
8/31/2022,Folding Bicycles,1373269.62,2370.80
8/31/2022,Other Bicycles,116992.95,114.76
8/31/2022,Recumbent Bicycles,1543140.24,955.47
8/31/2022,Stationary Bikes,11757701.49,39494.00
8/31/2022,Three Wheeler Bicycles,2034129.90,4369.23
8/31/2022,Unicycles,73448.29,804.39
8/31/2022,Pedals,8677711.60,163333.16
8/31/2022,MTB Clipless Pedals,1989342.61,19790.16
8/31/2022,Pedals Accessories,1374822.36,52775.63
8/31/2022,Platform Pedals,2756987.96,70881.34
8/31/2022,Road Clipless Pedals,2556558.67,19886.03
8/31/2022,Repairs/Maintenance,10899074.51,805664.48
8/31/2022,Bike Multi Tools,1358013.00,54679.76
8/31/2022,Bike Patch Tool Kits,599964.28,82386.61
8/31/2022,Bike Patch Tools,1534710.69,193794.20
8/31/2022,Bike Shop Tools,1693749.96,82940.89
8/31/2022,Lubes/Cleaners,4969629.97,386769.49
8/31/2022,Workstands,743006.61,5093.53
8/31/2022,Road,56773548.03,21618.99
8/31/2022,Cyclocross/Gravel Bicycles,18243758.12,7438.56
8/31/2022,Sport Performance Road Bicycles,36362184.40,12571.25
8/31/2022,Touring Road Bicycles,1153994.91,799.53
8/31/2022,Track/Single Speed Bicycles,179706.55,643.91
8/31/2022,Triathlon Bicycles,833904.05,165.74
8/31/2022,Saddles/Pads,7984096.68,184229.67
8/31/2022,Comfort Saddles,4211624.66,107525.61
8/31/2022,Other Saddles,256302.50,7241.80
8/31/2022,Pads/Covers,672187.01,40550.86
8/31/2022,Performance Saddles,2843982.51,28911.40
8/31/2022,Tandem,329170.06,470.36
8/31/2022,All Terrain Tandem Bicycles,0.00,0.00
8/31/2022,Comfort/Cross Tandem Bicycles,124345.10,288.40
8/31/2022,Road Tandem Bicycles,204824.96,181.96
8/31/2022,Tires/Tubes,33106022.49,2148841.03
8/31/2022,Other Tubes,1204826.52,149255.85
8/31/2022,Tire 12-24 Inch,1519586.95,74447.70
8/31/2022,Tire 26 Inch,3144027.93,120814.79
8/31/2022,Tire 27 Inch/700C/650C,10061887.68,205587.52
8/31/2022,Tire 27.5 Inch/650B,1336545.11,27612.10
8/31/2022,Tire 29 Inch,2301399.45,39477.62
8/31/2022,Tire OTHER,8825.57,412.20
8/31/2022,Tires/Tubes Accessories,1775297.98,156623.96
8/31/2022,Tube 20 Inch,1437433.69,175784.25
8/31/2022,Tube 24 X,642180.85,84145.76
8/31/2022,Tube 26 X,3861756.77,458610.77
8/31/2022,Tube 27.5/650B,677912.98,74352.82
8/31/2022,Tube 27/700C/650C,4186706.18,471042.60
8/31/2022,Tube 29 X,947634.83,110673.09
8/31/2022,Trailers,4429583.15,25243.72
8/31/2022,Cargo Trailers,425316.39,2501.51
8/31/2022,Kid Trailers/Carriers,3725660.77,21069.00
8/31/2022,Trail A Bikes,278605.99,1673.21
8/31/2022,Trainers/Rollers,2590599.82,12959.63
8/31/2022,Trainers/Rollers,2169537.93,6696.28
8/31/2022,Trainers/Rollers Accessories,421061.89,6263.35
8/31/2022,Transit/Fitness,52725416.87,82373.38
8/31/2022,Commuter/Town Bicycles,5791801.50,9368.04
8/31/2022,Cross/Hybrid Bicycles,46933615.37,73005.34
8/31/2022,Water Bottle Cages,4232885.93,260076.53
8/31/2022,Water Bottle Cages,4232885.93,260076.53
8/31/2022,Wheel Parts,1521925.54,165434.67
8/31/2022,26 Inch Rims,15052.34,216.65
8/31/2022,27 Inch Rims,0.00,0.00
8/31/2022,27.5 Inch/ 650B Rims,146015.42,493.02
8/31/2022,29 Inch Rims,66091.90,349.65
8/31/2022,650C Rims,0.00,0.00
8/31/2022,700C Rims,61060.19,510.14
8/31/2022,Hubs,204125.63,1920.87
8/31/2022,Other Rims,12641.62,154.66
8/31/2022,Other Wheel Parts,709967.57,64121.45
8/31/2022,Skewers,116336.84,4791.26
8/31/2022,Spokes,190634.03,92876.97
8/31/2022,Wheels,6443312.76,25437.82
8/31/2022,<=24 inch Front Wheels,10865.81,166.92
8/31/2022,<=24 inch Rear Wheels,19613.22,232.06
8/31/2022,<=24 inch Wheel Sets,49917.72,1162.72
8/31/2022,26 inch Front Wheels,107578.36,713.72
8/31/2022,26 inch Rear Wheels,126326.52,1411.28
8/31/2022,26 inch Wheel Sets,253348.15,3441.17
8/31/2022,27 inch/ 700C/ 650C Front Wheels,980358.61,2185.81
8/31/2022,27 inch/ 700C/ 650C Rear Wheels,1141843.99,2915.84
8/31/2022,27 inch/ 700C/ 650C Wheel Sets,1916620.88,7546.22
8/31/2022,27.5 inch/ 650B Front Wheels,31648.46,194.86
8/31/2022,27.5 inch/ 650B Rear Wheels,93606.62,469.70
8/31/2022,27.5 inch/ 650B Wheel Sets,285700.58,836.37
8/31/2022,29 inch Front Wheels,154712.70,801.25
8/31/2022,29 inch Rear Wheels,230130.86,1175.35
8/31/2022,29 inch Wheel Sets,960211.71,1652.34
8/31/2022,Other Front Wheels,2968.03,18.08
8/31/2022,Other Rear Wheels,0.00,0.00
8/31/2022,Other Wheel Sets,77860.54,514.13
8/31/2022,Grand Total,660558016.00,10344036.19
9/30/2022,Bike Footwear,11063773.68,90631.15
9/30/2022,Bike Sandals,30313.61,337.60
9/30/2022,Mountain Shoes,6038096.09,54215.91
9/30/2022,Other Bike Shoes,144546.99,1240.34
9/30/2022,Road Shoes,4850816.99,34837.30
9/30/2022,Bike Gloves,3937542.05,141213.86
9/30/2022,Bike Glove Liners,328.91,126.08
9/30/2022,Fingerless Bike Gloves,2045913.03,75957.47
9/30/2022,Full Finger Bike Gloves,1891300.11,65130.31
9/30/2022,Bike Lights,12958541.30,427022.02
9/30/2022,Bike Headlights,3428247.59,66979.71
9/30/2022,Bike Light Accessories,84204.43,6864.71
9/30/2022,Bike Light Sets,5591331.88,210979.12
9/30/2022,Bike Taillights,2952289.15,67920.88
9/30/2022,Other Bike Lights,902468.25,74277.60
9/30/2022,Bike Pumps,10126765.67,543031.45
9/30/2022,C02 Frame Pumps,629132.74,29645.36
9/30/2022,Floor Pumps,6633129.92,278154.28
9/30/2022,Manual Frame Pumps,1553423.23,69701.60
9/30/2022,Pump Accessories,1072875.92,160259.63
9/30/2022,Shock Pumps,238203.86,5270.58
9/30/2022,Bike Rentals,3616842.80,45254.78
9/30/2022,Bike Rentals,3616842.80,45254.78
9/30/2022,Bike Service/Repairs,40236216.88,1443396.03
9/30/2022,Bike Service/Repairs,40236216.88,1443396.03
9/30/2022,BMX,12197233.63,79727.09
9/30/2022,BMX/Race Bicycles,5466215.53,37730.41
9/30/2022,Freestyle Bicycles,6731018.10,41996.68
9/30/2022,Childrens,54303070.29,399654.00
9/30/2022,12 inch Bicycles,6721969.87,72993.67
9/30/2022,14 inch Bicycles,581912.00,3990.46
9/30/2022,16 inch Bicycles,10962970.30,96602.51
9/30/2022,18 inch Bicycles,5161252.63,47433.92
9/30/2022,20 inch Bicycles,13274902.14,88334.30
9/30/2022,24 inch Bicycles,17033663.74,85178.01
9/30/2022,Balance Bikes,504736.57,4355.08
9/30/2022,Tricycles,61663.04,766.05
9/30/2022,Components,37095179.84,1190474.76
9/30/2022,Bar Ends,47768.66,2892.93
9/30/2022,Bottom Brackets,714054.86,19932.48
9/30/2022,Brake and Shifting Cables,1470885.33,272237.53
9/30/2022,Brake Parts - Disks,1604661.90,33893.08
9/30/2022,Brake Parts - Levers,356718.93,7394.14
9/30/2022,Brake Parts - Other,807435.61,39209.82
9/30/2022,Brake Parts - Pads,2627141.76,156085.09
9/30/2022,Brake Parts - Rims,111778.87,1479.93
9/30/2022,Brakes - Disk - Hydraulic,259275.67,2401.08
9/30/2022,Brakes - Disk - Hydraulic Sets,865755.70,8158.18
9/30/2022,Brakes - Disk - Mechanical,75225.27,1867.95
9/30/2022,Brakes - Disk - Mechanical Sets,91.70,4.16
9/30/2022,Brakes - Rim Sets,14737.15,384.15
9/30/2022,Brakes - Rims,79516.69,3555.41
9/30/2022,Cassettes/Freewheels,3651104.59,46188.52
9/30/2022,Chainrings,748723.47,13518.70
9/30/2022,Chains,3863250.19,140658.44
9/30/2022,Component Groups,1518116.01,3230.55
9/30/2022,Cranksets,1136975.70,7984.02
9/30/2022,Front Derailleurs,359881.85,5004.36
9/30/2022,Handlebar Grips,1615181.50,84021.58
9/30/2022,Handlebar Tape,1335540.09,46554.30
9/30/2022,Handlebars,1285383.81,12929.37
9/30/2022,Headsets,165863.96,4403.02
9/30/2022,Other Component Parts,6436686.09,197541.39
9/30/2022,Rear Derailleurs,1985936.92,24070.97
9/30/2022,Seatposts,1846700.92,19344.18
9/30/2022,Shift/Brake Combo,650115.26,5174.89
9/30/2022,Shifters,449714.76,12267.41
9/30/2022,Stems,1010956.62,18087.13
9/30/2022,Electric Bicycles,85421640.67,39510.57
9/30/2022,Electric Lifestyle/Leisure Bicycles- Not Specified,0.00,0.00
9/30/2022,Electric Lifestyle/Leisure Bicycles- Class 1,5643890.90,2851.72
9/30/2022,Electric Lifestyle/Leisure Bicycles- Class 2,680760.70,475.39
9/30/2022,Electric Lifestyle/Leisure Bicycles- Class 3,81303.15,54.45
9/30/2022,Electric Mountain Bicycles- Not Specified,0.00,0.00
9/30/2022,Electric Mountain Bicycles- Class 1,22541087.54,4967.61
9/30/2022,Electric Mountain Bicycles- Class 2,1800725.50,783.49
9/30/2022,Electric Other Bicycles- Not Specified,245185.32,360.28
9/30/2022,Electric Other Bicycles- Class 1,6146242.39,2782.62
9/30/2022,Electric Other Bicycles- Class 2,6385990.83,10873.73
9/30/2022,Electric Other Bicycles- Class 3,505586.34,104.19
9/30/2022,Electric Road Bicycles- Not Specified,4742.97,2.79
9/30/2022,Electric Road Bicycles- Class 1,2395431.10,432.50
9/30/2022,Electric Road Bicycles- Class 2,95570.86,60.30
9/30/2022,Electric Road Bicycles- Class 3,409182.28,92.28
9/30/2022,Electric Transit/Fitness Bicycles- Not Specified,501759.98,202.44
9/30/2022,Electric Transit/Fitness Bicycles- Class 1,17663627.96,7415.65
9/30/2022,Electric Transit/Fitness Bicycles- Class 2,4218243.67,2803.54
9/30/2022,Electric Transit/Fitness Bicycles- Class 3,15827732.70,5156.46
9/30/2022,Electric Mountain Bicycles- Class 3,274576.48,91.13
9/30/2022,Electronics,7646620.83,82648.76
9/30/2022,Cyclo-Computers,4005892.97,19144.30
9/30/2022,Electronic Accessories,3084747.50,62562.35
9/30/2022,Power Meters,555980.36,942.11
9/30/2022,Fenders,709827.09,19046.02
9/30/2022,Fender Sets,492981.91,7713.72
9/30/2022,Front Fenders,129442.29,7237.52
9/30/2022,Rear Fenders,87402.89,4094.78
9/30/2022,Forks & Suspension,2198834.66,4382.45
9/30/2022,26 Inch,36096.36,35.11
9/30/2022,700C,11347.58,60.05
9/30/2022,Other Rigid Forks,99351.12,385.22
9/30/2022,Suspension Fork,1908779.72,3484.78
9/30/2022,Suspension Rear,143259.88,417.29
9/30/2022,Frames,4601148.55,2374.87
9/30/2022,BMX Frames,14728.68,18.66
9/30/2022,Cyclocross/Gravel Frames,413199.13,204.97
9/30/2022,Mountain Frames,1036445.83,565.68
9/30/2022,Road Frames,3136774.91,1585.56
9/30/2022,Helmets,35199861.78,804858.74
9/30/2022,Full Face Helmets,1577317.07,12970.65
9/30/2022,Helmet Accessories,60774.78,2036.88
9/30/2022,Regular Helmets,33561769.93,789851.21
9/30/2022,Lifestyle/Leisure,12819395.42,51523.50
9/30/2022,Comfort Bicycles,3663980.30,8172.58
9/30/2022,Cruiser/Classic Bicycles,9155415.12,43350.92
9/30/2022,Locks,14595810.74,615125.97
9/30/2022,Cable Locks,5956422.74,439117.98
9/30/2022,Lock Accessories,163189.01,6799.59
9/30/2022,U-Locks,6026967.95,129952.78
9/30/2022,Chain Locks,1514038.78,27548.84
9/30/2022,Folding Locks,779255.40,8432.70
9/30/2022,Other Locks,155936.86,3274.08
9/30/2022,Mountain,129289222.58,197970.36
9/30/2022,"Downhill Bicycles-26""",0.00,0.00
9/30/2022,"Downhill Bicycles-27.5""/650B",3359.99,1.00
9/30/2022,"Downhill Bicycles-29""",12429.98,2.00
9/30/2022,"Front Suspension Bicycles-26""",10629752.13,55831.83
9/30/2022,"Front Suspension Bicycles-27.5""/650B",17810536.38,41910.96
9/30/2022,"Front Suspension Bicycles-29""",28621749.23,40590.16
9/30/2022,Front Suspension Bicycles-Not Specified,14810.50,15.59
9/30/2022,"Full Suspension Bicycles-26""",4614589.71,29254.45
